R,r,A,a,constant,equil_time,cd_hat_cd_bar,cd_hat,cd_bar
40.0,2.0,20.0,2.8,0.2,42.0,1.0305697734081338,7.878887010269743,7.645175720818942
40.0,2.0,20.0,2.8,1.1,11.0,1.0907410422356647,8.392748589484858,7.694538175883114
40.0,2.0,20.0,2.8,1.2,11.0,1.0872905760984166,8.584211966857998,7.895048624132464
40.0,2.0,20.0,2.8,1.3,9.0,1.0802667737389815,8.882272198355693,8.222295098101263
40.0,2.0,20.0,2.8,1.4,11.0,1.0719198429958936,9.448982848602515,8.815008799719283
40.0,2.0,20.0,2.8,1.5,14.0,1.082243428795175,9.868845464545627,9.118877696057973
40.0,2.0,20.0,2.8,1.6,12.0,1.0919655798154777,10.303431503422292,9.435674250065084
40.0,2.0,20.0,2.8,1.7,13.0,1.1012389963087934,10.747251919274742,9.759236601044915
40.0,2.0,20.0,2.8,1.8,8.0,1.104506966189034,11.223420590845006,10.161475603517507
40.0,2.0,20.0,2.8,1.9,8.0,1.1124939488777934,11.686969847967713,10.505198576366835
40.0,2.0,20.0,2.8,2.0,9.0,1.1200557663804696,12.159785738137096,10.85641099588479
40.0,2.0,20.0,2.8,0.3,50.0,1.0287761247590463,7.859880371252196,7.640029917192226
40.0,2.0,20.0,2.8,2.1,7.0,1.1274119807772927,12.634728122469987,11.206842164085387
40.0,2.0,20.0,2.8,2.2,12.0,1.1338780415322702,13.12558058556519,11.57583100191965
40.0,2.0,20.0,2.8,2.3,7.0,1.1534100090663222,13.483699607009589,11.690291831197612
40.0,2.0,20.0,2.8,2.4,22.0,1.1595996799197137,13.978332659775745,12.054446807663446
40.0,2.0,20.0,2.8,2.5,17.0,1.1657529971292944,14.472906483238742,12.415071219099378
40.0,2.0,20.0,2.8,2.6,14.0,1.1880599981148388,14.823546442934292,12.477102559176846
40.0,2.0,20.0,2.8,2.7,8.0,1.194198335750411,15.312642374794034,12.82252865071351
40.0,2.0,20.0,2.8,2.8,41.0,1.2095337894595821,15.792564585291561,13.056737003062688
40.0,2.0,20.0,2.8,2.9,21.0,1.2296385303721558,15.98159772684945,12.996988409278739
40.0,2.0,20.0,2.8,3.0,16.0,1.2357979410364484,16.47198209281476,13.329025357494862
40.0,2.0,20.0,2.8,0.4,8.0,1.0100049966390285,7.683186127187057,7.607077343928225
40.0,2.0,20.0,2.8,3.1,38.0,1.2416409752352138,16.965544598830142,13.663808570441407
40.0,2.0,20.0,2.8,3.2,14.0,1.2656693147310658,17.12210972121886,13.52810684586837
40.0,2.0,20.0,2.8,3.3,11.0,1.2714731711345355,17.610574228224177,13.850527583299506
40.0,2.0,20.0,2.8,3.4,10.0,1.2771228391727283,18.10125621701657,14.173465278204464
40.0,2.0,20.0,2.8,3.5,13.0,1.309522862717512,18.393016934278375,14.045586723174367
40.0,2.0,20.0,2.8,3.6,12.0,1.3149684846638752,18.879987843886074,14.357749302799505
40.0,2.0,20.0,2.8,3.7,13.0,1.3204559652547572,19.368546123839852,14.668074236086362
40.0,2.0,20.0,2.8,3.8,16.0,1.3258817509424254,19.859268638001545,14.978159721925238
40.0,2.0,20.0,2.8,3.9,19.0,1.3460921498596783,20.299048994353818,15.079984677475363
40.0,2.0,20.0,2.8,4.0,29.0,1.3515251994364277,20.791076670272442,15.383417696497343
40.0,2.0,20.0,2.8,0.5,7.0,1.0043348484026233,7.571455983878293,7.538776530477418
40.0,2.0,20.0,2.8,4.1,50.0,1.3562245171851435,21.28198780196051,15.692083082328782
40.0,2.0,20.0,2.8,4.2,6.0,1.3591802863158025,21.839073184666695,16.067826619133612
40.0,2.0,20.0,2.8,4.3,5.0,1.3382014290928763,22.78070685597491,17.023376571505544
40.0,2.0,20.0,2.8,4.4,7.0,1.3708705728660529,22.762314724777553,16.604277001284533
40.0,2.0,20.0,2.8,4.5,24.0,1.403856773567752,22.849498140342604,16.27623171434579
40.0,2.0,20.0,2.8,4.6,7.0,1.4088493320454485,23.33629945323959,16.564084549309904
40.0,2.0,20.0,2.8,4.7,6.0,1.4132504870127325,23.823003194054454,16.85688659793812
40.0,2.0,20.0,2.8,4.8,9.0,1.3871485738255394,24.74912003050511,17.841722579327534
40.0,2.0,20.0,2.8,4.9,6.0,1.3914657796216938,25.244433094932436,18.142331248559913
40.0,2.0,20.0,2.8,5.0,8.0,1.3950273434939962,25.745122647086124,18.454923315413083
40.0,2.0,20.0,2.8,0.6,11.0,1.0009994355402214,7.479644952780019,7.47217699352986
40.0,2.0,20.0,2.8,5.1,9.0,1.3987980006909024,26.2437597339326,18.76165087523011
40.0,2.0,20.0,2.8,5.2,7.0,1.422670851587693,26.667172845980396,18.74444311290976
40.0,2.0,20.0,2.8,5.3,8.0,1.4270726947838779,27.169301168544717,19.038484351814574
40.0,2.0,20.0,2.8,5.4,14.0,1.4303026587530296,27.670030145116687,19.34557694889559
40.0,2.0,20.0,2.8,5.5,10.0,1.433923023528917,28.16835727242138,19.64426040325262
40.0,2.0,20.0,2.8,5.6,8.0,1.4377436039766736,28.666036454127465,19.938211774922667
40.0,2.0,20.0,2.8,5.7,9.0,1.4405168104648691,29.16763752831201,20.248036896493645
40.0,2.0,20.0,2.8,5.8,7.0,1.4440821495193548,29.666997640559494,20.543843472086262
40.0,2.0,20.0,2.8,5.9,7.0,1.4473571956522648,30.16629666401921,20.842330251741686
40.0,2.0,20.0,2.8,6.0,8.0,1.4503241961134703,30.667306701798722,21.145138986152155
40.0,2.0,20.0,2.8,0.7,14.0,1.0032720358957863,7.4706737409202875,7.446309150090071
40.0,2.0,20.0,2.8,6.1,15.0,1.5009297384486213,30.847051899435968,20.55196263305426
40.0,2.0,20.0,2.8,6.2,20.0,1.5043398299694883,31.341399021065868,20.833988701676233
40.0,2.0,20.0,2.8,6.3,7.0,1.545243284297561,31.231618091430914,20.21145693289858
40.0,2.0,20.0,2.8,6.4,8.0,1.5135057094327835,32.080710301135895,21.19629288558071
40.0,2.0,20.0,2.8,6.5,10.0,1.5168226574035772,32.57453084925487,21.475503870053178
40.0,2.0,20.0,2.8,6.6,15.0,1.6076847013788973,32.646129569685606,20.306301068664336
40.0,2.0,20.0,2.8,6.7,12.0,1.6111873061877982,33.13175702169238,20.563566318111608
40.0,2.0,20.0,2.8,6.8,13.0,1.6155943490649567,33.61763117835279,20.808212901839727
40.0,2.0,20.0,2.8,6.9,13.0,1.695081796164784,33.71064720478179,19.887327727224722
40.0,2.0,20.0,2.8,7.0,15.0,1.6999377709457308,34.19561298518788,20.115802807395557
40.0,2.0,20.0,2.8,0.8,36.0,0.9929018537366537,7.4830504805118805,7.5365459862426665
40.0,2.0,20.0,2.8,0.9,9.0,0.9974321222114882,7.6782509251010875,7.698018495812036
40.0,2.0,20.0,2.8,1.0,13.0,1.0128095925574423,8.015461137665987,7.914084934193969
