R,r,A,a,constant,equil_time,cd_hat_cd_bar
40.0,2.0,20.0,2.8,0.2,42.0,1.0305697734081338
40.0,2.0,20.0,2.8,1.1,11.0,1.0907410422356647
35.0,2.0,20.0,2.6,3.2,23.0,1.2281206840050791
35.0,2.0,20.0,2.6,3.3,23.0,1.2331747344669042
35.0,2.0,20.0,2.6,3.4,44.0,1.2375359970196735
35.0,2.0,20.0,2.6,3.5,50.0,1.2588692570244044
35.0,2.0,20.0,2.6,3.6,22.0,1.2709456177779546
35.0,2.0,20.0,2.6,3.7,37.0,1.2752252137135598
35.0,2.0,20.0,2.6,3.8,54.0,1.279780705536529
35.0,2.0,20.0,2.6,3.9,48.0,1.3265657655485363
35.0,2.0,20.0,2.6,4.0,27.0,1.3467366087562322
35.0,2.0,20.0,2.6,4.1,14.0,1.327855263807312
40.0,2.0,20.0,2.8,1.2,11.0,1.0872905760984166
35.0,2.0,20.0,2.6,4.2,13.0,1.3319824036952168
35.0,2.0,20.0,2.6,4.3,52.0,1.361238384217155
35.0,2.0,20.0,2.6,4.4,24.0,1.338140413526142
35.0,2.0,20.0,2.6,4.5,10.0,1.3705574891017844
35.0,2.0,20.0,2.6,4.6,12.0,1.3749105369055983
35.0,2.0,20.0,2.6,4.7,9.0,1.4081621852734907
35.0,2.0,20.0,2.6,4.8,8.0,1.412593535712484
35.0,2.0,20.0,2.6,4.9,8.0,1.4169466139552735
35.0,2.0,20.0,2.6,5.0,8.0,1.4209349373265496
35.0,2.0,20.0,2.6,5.1,9.0,1.425003960825702
40.0,2.0,20.0,2.8,1.3,9.0,1.0802667737389815
35.0,2.0,20.0,2.6,5.2,13.0,1.3978251948700482
35.0,2.0,20.0,2.6,5.3,13.0,1.401455797545969
35.0,2.0,20.0,2.6,5.4,10.0,1.4254511108067982
35.0,2.0,20.0,2.6,5.5,13.0,1.429401626711033
35.0,2.0,20.0,2.6,5.6,15.0,1.4328072071339608
35.0,2.0,20.0,2.6,5.7,13.0,1.447664864579003
35.0,2.0,20.0,2.6,5.8,12.0,1.4507058956784715
35.0,2.0,20.0,2.6,5.9,16.0,1.4425841875998138
35.0,2.0,20.0,2.6,6.0,9.0,1.4457960411427464
35.0,2.0,20.0,2.6,6.1,12.0,1.4484297310318897
40.0,2.0,20.0,2.8,1.4,11.0,1.0719198429958936
35.0,2.0,20.0,2.6,6.2,11.0,1.4513508560658175
35.0,2.0,20.0,2.6,6.3,12.0,1.454429097711291
35.0,2.0,20.0,2.6,6.4,14.0,1.5053770215962976
35.0,2.0,20.0,2.6,6.5,17.0,1.5455764505649918
35.0,2.0,20.0,2.6,6.6,25.0,1.6420158614228344
35.0,2.0,20.0,2.6,6.7,21.0,1.6054432441871282
35.0,2.0,20.0,2.6,6.8,13.0,1.5455981297048127
35.0,2.0,20.0,2.6,6.9,13.0,1.548420657809302
35.0,2.0,20.0,2.6,7.0,13.0,1.5516345773354356
30.0,2.0,20.0,2.4,0.2,47.0,1.0223143139953381
40.0,2.0,20.0,2.8,1.5,14.0,1.082243428795175
30.0,2.0,20.0,2.4,0.3,57.0,1.0114165563252548
30.0,2.0,20.0,2.4,0.4,51.0,1.011285705470592
30.0,2.0,20.0,2.4,0.5,55.0,1.006668321169652
30.0,2.0,20.0,2.4,0.6,41.0,1.0016723262580816
30.0,2.0,20.0,2.4,0.7,20.0,1.001275127310724
30.0,2.0,20.0,2.4,0.8,16.0,0.9993840291589743
30.0,2.0,20.0,2.4,0.9,27.0,1.001969707076873
30.0,2.0,20.0,2.4,1.0,58.0,1.0138159464377272
30.0,2.0,20.0,2.4,1.1,38.0,1.0754221534557973
30.0,2.0,20.0,2.4,1.2,34.0,1.0742957581882406
40.0,2.0,20.0,2.8,1.6,12.0,1.0919655798154777
30.0,2.0,20.0,2.4,1.3,29.0,1.0745794737804415
30.0,2.0,20.0,2.4,1.4,17.0,1.086599626300497
30.0,2.0,20.0,2.4,1.5,13.0,1.089378739146849
30.0,2.0,20.0,2.4,1.6,29.0,1.086618415288235
30.0,2.0,20.0,2.4,1.7,14.0,1.0956857486271578
30.0,2.0,20.0,2.4,1.8,13.0,1.1043682764311848
30.0,2.0,20.0,2.4,1.9,12.0,1.1071529253347911
30.0,2.0,20.0,2.4,2.0,20.0,1.1144111842802213
30.0,2.0,20.0,2.4,2.1,14.0,1.121687144259253
30.0,2.0,20.0,2.4,2.2,15.0,1.1284098955674704
40.0,2.0,20.0,2.8,1.7,13.0,1.1012389963087934
30.0,2.0,20.0,2.4,2.3,16.0,1.1347886070560274
30.0,2.0,20.0,2.4,2.4,12.0,1.1536393931203146
30.0,2.0,20.0,2.4,2.5,12.0,1.1598588083940502
30.0,2.0,20.0,2.4,2.6,11.0,1.1658329386797601
30.0,2.0,20.0,2.4,2.7,12.0,1.1714507722718055
30.0,2.0,20.0,2.4,2.8,47.0,1.1948876428694621
30.0,2.0,20.0,2.4,2.9,20.0,1.2083681481913628
30.0,2.0,20.0,2.4,3.0,30.0,1.213805265094875
30.0,2.0,20.0,2.4,3.1,26.0,1.219069198839979
30.0,2.0,20.0,2.4,3.2,14.0,1.2243795039417384
40.0,2.0,20.0,2.8,1.8,8.0,1.104506966189034
30.0,2.0,20.0,2.4,3.3,26.0,1.2290301079017534
30.0,2.0,20.0,2.4,3.4,23.0,1.2338079382888336
30.0,2.0,20.0,2.4,3.5,20.0,1.2384369152752617
30.0,2.0,20.0,2.4,3.6,32.0,1.2426462655152524
30.0,2.0,20.0,2.4,3.7,17.0,1.27108054277594
30.0,2.0,20.0,2.4,3.8,17.0,1.2755576551115875
30.0,2.0,20.0,2.4,3.9,23.0,1.279623814314555
30.0,2.0,20.0,2.4,4.0,25.0,1.283642112870202
30.0,2.0,20.0,2.4,4.1,13.0,1.3027549376543184
30.0,2.0,20.0,2.4,4.2,22.0,1.3070251409303917
40.0,2.0,20.0,2.8,1.9,8.0,1.1124939488777934
30.0,2.0,20.0,2.4,4.3,13.0,1.3110169825954965
30.0,2.0,20.0,2.4,4.4,30.0,1.3145403623421115
30.0,2.0,20.0,2.4,4.5,18.0,1.3183503994328702
30.0,2.0,20.0,2.4,4.6,12.0,1.3693727200037147
30.0,2.0,20.0,2.4,4.7,15.0,1.373839006423089
30.0,2.0,20.0,2.4,4.8,17.0,1.3777966079079103
30.0,2.0,20.0,2.4,4.9,31.0,1.3813834469522217
30.0,2.0,20.0,2.4,5.0,13.0,1.4153982394915339
30.0,2.0,20.0,2.4,5.1,14.0,1.4200682810424152
30.0,2.0,20.0,2.4,5.2,13.0,1.423349564067767
40.0,2.0,20.0,2.8,2.0,9.0,1.1200557663804696
30.0,2.0,20.0,2.4,5.3,17.0,1.4270968091965548
30.0,2.0,20.0,2.4,5.4,23.0,1.3996564387891433
30.0,2.0,20.0,2.4,5.5,20.0,1.4227603641546158
30.0,2.0,20.0,2.4,5.6,50.0,1.4267008994811918
30.0,2.0,20.0,2.4,5.7,20.0,1.4424659539025442
30.0,2.0,20.0,2.4,5.8,17.0,1.444696470745816
30.0,2.0,20.0,2.4,5.9,20.0,1.4480345093965523
30.0,2.0,20.0,2.4,6.0,20.0,1.4509748096905437
30.0,2.0,20.0,2.4,6.1,22.0,1.454495717192131
30.0,2.0,20.0,2.4,6.2,17.0,1.4457821250789955
40.0,2.0,20.0,2.8,0.3,50.0,1.0287761247590463
40.0,2.0,20.0,2.8,2.1,7.0,1.1274119807772927
30.0,2.0,20.0,2.4,6.3,18.0,1.4487428709723909
30.0,2.0,20.0,2.4,6.4,25.0,1.4511768150312996
30.0,2.0,20.0,2.4,6.5,18.0,1.4803489592392023
30.0,2.0,20.0,2.4,6.6,24.0,1.5077281993497178
30.0,2.0,20.0,2.4,6.7,26.0,1.5691224388026694
30.0,2.0,20.0,2.4,6.8,31.0,1.6409571289729816
30.0,2.0,20.0,2.4,6.9,27.0,1.5415079668687441
30.0,2.0,20.0,2.4,7.0,24.0,1.5442766416800182
40.0,2.0,20.0,2.8,2.2,12.0,1.1338780415322702
40.0,2.0,20.0,2.8,2.3,7.0,1.1534100090663222
40.0,2.0,20.0,2.8,2.4,22.0,1.1595996799197137
40.0,2.0,20.0,2.8,2.5,17.0,1.1657529971292944
40.0,2.0,20.0,2.8,2.6,14.0,1.1880599981148388
40.0,2.0,20.0,2.8,2.7,8.0,1.194198335750411
40.0,2.0,20.0,2.8,2.8,41.0,1.2095337894595821
40.0,2.0,20.0,2.8,2.9,21.0,1.2296385303721558
40.0,2.0,20.0,2.8,3.0,16.0,1.2357979410364484
40.0,2.0,20.0,2.8,0.4,8.0,1.0100049966390285
40.0,2.0,20.0,2.8,3.1,38.0,1.2416409752352138
40.0,2.0,20.0,2.8,3.2,14.0,1.2656693147310658
40.0,2.0,20.0,2.8,3.3,11.0,1.2714731711345355
40.0,2.0,20.0,2.8,3.4,10.0,1.2771228391727283
40.0,2.0,20.0,2.8,3.5,13.0,1.309522862717512
40.0,2.0,20.0,2.8,3.6,12.0,1.3149684846638752
40.0,2.0,20.0,2.8,3.7,13.0,1.3204559652547572
40.0,2.0,20.0,2.8,3.8,16.0,1.3258817509424254
40.0,2.0,20.0,2.8,3.9,19.0,1.3460921498596783
40.0,2.0,20.0,2.8,4.0,29.0,1.3515251994364277
40.0,2.0,20.0,2.8,0.5,7.0,1.0043348484026233
40.0,2.0,20.0,2.8,4.1,50.0,1.3562245171851435
40.0,2.0,20.0,2.8,4.2,6.0,1.3591802863158025
40.0,2.0,20.0,2.8,4.3,5.0,1.3382014290928763
40.0,2.0,20.0,2.8,4.4,7.0,1.3708705728660529
40.0,2.0,20.0,2.8,4.5,24.0,1.403856773567752
40.0,2.0,20.0,2.8,4.6,7.0,1.4088493320454485
40.0,2.0,20.0,2.8,4.7,6.0,1.4132504870127325
40.0,2.0,20.0,2.8,4.8,9.0,1.3871485738255394
40.0,2.0,20.0,2.8,4.9,6.0,1.3914657796216938
40.0,2.0,20.0,2.8,5.0,8.0,1.3950273434939962
40.0,2.0,20.0,2.8,0.6,11.0,1.0009994355402214
40.0,2.0,20.0,2.8,5.1,9.0,1.3987980006909024
40.0,2.0,20.0,2.8,5.2,7.0,1.422670851587693
40.0,2.0,20.0,2.8,5.3,8.0,1.4270726947838779
40.0,2.0,20.0,2.8,5.4,14.0,1.4303026587530296
40.0,2.0,20.0,2.8,5.5,10.0,1.433923023528917
40.0,2.0,20.0,2.8,5.6,8.0,1.4377436039766736
40.0,2.0,20.0,2.8,5.7,9.0,1.4405168104648691
40.0,2.0,20.0,2.8,5.8,7.0,1.4440821495193548
40.0,2.0,20.0,2.8,5.9,7.0,1.4473571956522648
40.0,2.0,20.0,2.8,6.0,8.0,1.4503241961134703
40.0,2.0,20.0,2.8,0.7,14.0,1.0032720358957863
40.0,2.0,20.0,2.8,6.1,15.0,1.5009297384486213
40.0,2.0,20.0,2.8,6.2,20.0,1.5043398299694883
40.0,2.0,20.0,2.8,6.3,7.0,1.545243284297561
40.0,2.0,20.0,2.8,6.4,8.0,1.5135057094327835
40.0,2.0,20.0,2.8,6.5,10.0,1.5168226574035772
40.0,2.0,20.0,2.8,6.6,15.0,1.6076847013788973
40.0,2.0,20.0,2.8,6.7,12.0,1.6111873061877982
40.0,2.0,20.0,2.8,6.8,13.0,1.6155943490649567
40.0,2.0,20.0,2.8,6.9,13.0,1.695081796164784
40.0,2.0,20.0,2.8,7.0,15.0,1.6999377709457308
40.0,2.0,20.0,2.8,0.8,36.0,0.9929018537366537
35.0,2.0,20.0,2.6,0.2,14.0,1.0311127080506968
35.0,2.0,20.0,2.6,0.3,44.0,1.0178158209024446
35.0,2.0,20.0,2.6,0.4,18.0,1.009340641217705
35.0,2.0,20.0,2.6,0.5,40.0,1.0035388455592653
35.0,2.0,20.0,2.6,0.6,48.0,1.003999647413167
35.0,2.0,20.0,2.6,0.7,48.0,1.0035370913963073
35.0,2.0,20.0,2.6,0.8,31.0,1.0009041852549136
35.0,2.0,20.0,2.6,0.9,10.0,0.9960396804245892
35.0,2.0,20.0,2.6,1.0,13.0,1.0135063982283912
35.0,2.0,20.0,2.6,1.1,22.0,1.089118856953572
40.0,2.0,20.0,2.8,0.9,9.0,0.9974321222114882
35.0,2.0,20.0,2.6,1.2,52.0,1.0655249243902754
35.0,2.0,20.0,2.6,1.3,25.0,1.0840447313288326
35.0,2.0,20.0,2.6,1.4,14.0,1.0921224727660535
35.0,2.0,20.0,2.6,1.5,9.0,1.0801623662123458
35.0,2.0,20.0,2.6,1.6,8.0,1.0898843383786092
35.0,2.0,20.0,2.6,1.7,23.0,1.0988143606448426
35.0,2.0,20.0,2.6,1.8,8.0,1.1077067356281685
35.0,2.0,20.0,2.6,1.9,8.0,1.1103045153423474
35.0,2.0,20.0,2.6,2.0,8.0,1.1178783460719683
35.0,2.0,20.0,2.6,2.1,8.0,1.1250443800015797
40.0,2.0,20.0,2.8,1.0,13.0,1.0128095925574423
35.0,2.0,20.0,2.6,2.2,24.0,1.1313812378839283
35.0,2.0,20.0,2.6,2.3,10.0,1.1505215536143827
35.0,2.0,20.0,2.6,2.4,9.0,1.157168426686849
35.0,2.0,20.0,2.6,2.5,18.0,1.1631427064312236
35.0,2.0,20.0,2.6,2.6,10.0,1.169239091785259
35.0,2.0,20.0,2.6,2.7,18.0,1.1746566494683255
35.0,2.0,20.0,2.6,2.8,12.0,1.2182462732329022
35.0,2.0,20.0,2.6,2.9,14.0,1.2122443362420527
35.0,2.0,20.0,2.6,3.0,13.0,1.217820395506731
35.0,2.0,20.0,2.6,3.1,37.0,1.2229097447067228
