SimulationId,N_differential,N_average,N_a_cutoff_lv3,N_a_cutoff_lv1,N_u_cutoff_lv3,N_u_cutoff_lv1,T_differential,T_average,T_a_cutoff_lv3,T_a_cutoff_lv1,T_u_cutoff_lv3,T_u_cutoff_lv1
593076_1,70,70,70,67,62,54,68,86,78,61,61,47
593076_2,70,67,70,68,60,70,68,59,78,61,64,75
593076_3,70,68,67,67,70,68,72,98,65,63,99,70
593076_4,70,68,70,70,70,68,76,68,85,80,95,73
593076_5,70,70,70,70,68,68,71,74,72,77,82,70
593076_6,70,70,68,70,67,70,69,80,69,78,88,89
593076_7,70,67,70,70,70,67,79,66,80,72,99,67
593076_8,70,70,70,70,68,70,74,84,76,71,82,76
593076_9,70,67,70,70,67,65,71,74,81,72,77,92
593076_10,61,61,70,70,67,67,50,56,75,75,98,100
593076_11,70,67,70,70,69,68,73,66,77,74,100,67
593076_12,67,70,70,70,67,68,59,78,76,77,77,65
593076_13,70,70,68,70,69,70,68,81,65,68,96,84
593076_14,70,61,70,70,70,67,72,55,80,79,96,69
593076_15,70,68,70,70,70,68,73,67,74,71,99,69
593076_16,70,67,68,70,62,63,69,73,94,73,80,60
593076_17,70,70,63,68,53,70,69,75,59,96,100,82
593076_18,70,63,70,70,62,70,78,56,69,70,67,76
593076_19,51,70,64,68,67,70,43,73,63,64,99,76
593076_20,68,70,70,67,70,70,69,80,83,100,95,81
903537_1,68,51,68,70,65,68,69,46,96,68,67,74
903537_2,70,66,64,70,68,70,69,90,65,64,68,85
903537_3,70,66,70,70,70,68,80,76,88,84,86,73
903537_4,70,70,70,70,70,68,74,99,92,69,79,69
903537_5,70,70,68,67,67,68,73,97,85,65,97,74
903537_6,70,62,68,70,70,66,77,68,85,72,85,68
903537_7,68,69,68,67,68,70,66,95,80,66,71,76
903537_8,70,62,63,70,70,68,76,98,65,76,91,71
903537_9,68,64,68,70,56,63,70,97,84,72,44,60
903537_10,70,60,70,70,70,70,70,55,89,75,77,78
903537_11,70,68,68,70,68,68,73,84,82,70,97,70
903537_12,70,70,70,68,67,68,73,99,85,90,66,68
903537_13,70,59,68,70,68,64,75,63,71,70,88,66
903537_14,70,70,70,70,70,68,87,87,96,66,83,66
903537_15,70,63,64,70,70,68,73,96,67,73,84,68
903537_16,70,70,53,70,68,68,76,95,47,72,67,84
903537_17,70,68,70,68,66,68,74,89,83,61,66,66
903537_18,68,67,68,70,68,68,63,80,75,67,71,73
903537_19,68,69,68,70,68,68,69,98,97,67,79,68
903537_20,70,67,65,70,70,70,72,87,67,67,96,76
490280_1,68,60,70,70,70,70,67,62,81,76,93,72
490280_2,70,70,67,63,65,70,74,92,73,62,98,79
490280_3,70,49,70,70,64,70,77,41,77,82,62,79
490280_4,70,63,70,70,70,70,74,100,85,83,95,81
490280_5,70,70,70,70,70,70,69,88,88,75,93,85
490280_6,68,56,68,67,70,70,65,53,75,65,92,79
490280_7,70,70,70,70,65,70,80,90,78,77,62,75
490280_8,66,70,51,70,66,66,100,97,81,78,98,88
490280_9,70,70,68,70,68,65,75,85,84,78,86,68
490280_10,68,67,65,70,70,70,64,68,70,78,99,87
490280_11,68,64,68,70,68,68,70,67,78,76,85,69
490280_12,65,68,64,68,69,70,65,100,82,74,94,79
490280_13,70,59,65,67,63,68,70,58,77,75,62,75
490280_14,70,70,70,70,68,70,73,80,83,84,69,78
490280_15,70,67,70,70,70,70,76,78,85,80,97,72
490280_16,65,67,51,70,69,70,69,94,44,88,94,83
490280_17,70,65,70,70,64,68,76,66,86,83,61,71
490280_18,70,70,64,60,61,70,73,84,100,52,56,76
490280_19,68,70,67,68,65,68,69,99,70,73,66,74
490280_20,70,63,70,67,65,70,74,61,84,69,99,76
494486_1,66,65,70,70,70,68,68,67,85,72,93,77
494486_2,68,69,68,70,70,68,67,99,100,78,95,71
494486_3,70,70,60,70,70,70,79,94,67,78,92,89
494486_4,70,69,69,70,68,65,80,97,98,77,90,100
494486_5,70,65,70,59,65,66,74,86,83,52,69,66
494486_6,70,70,70,70,67,70,79,91,86,74,81,82
494486_7,70,68,70,70,65,70,73,95,90,76,65,82
494486_8,68,62,67,70,68,55,71,63,87,72,87,50
494486_9,70,67,68,70,70,66,70,84,97,73,97,99
494486_10,68,64,69,68,67,70,69,76,96,79,74,79
494486_11,70,70,65,65,68,70,72,90,77,59,74,80
494486_12,68,70,67,70,70,70,65,90,74,72,88,80
494486_13,70,70,70,68,68,70,72,97,82,67,84,82
494486_14,68,70,70,70,61,70,68,83,84,73,60,82
494486_15,70,68,70,70,70,70,73,90,92,73,92,85
494486_16,70,65,70,68,70,67,84,100,99,66,92,69
494486_17,67,70,70,68,70,70,68,87,82,68,89,84
494486_18,70,68,70,70,66,70,76,96,92,76,78,82
494486_19,70,62,70,70,68,63,75,66,92,71,73,58
494486_20,70,70,70,70,68,70,72,94,88,74,78,88
224271_1,70,68,63,67,68,68,70,76,100,60,82,66
224271_2,70,62,70,70,58,70,79,94,81,70,51,67
224271_3,70,68,68,70,70,70,75,69,76,77,87,71
224271_4,68,68,70,67,66,70,65,76,83,68,65,65
224271_5,70,58,70,70,68,70,74,52,90,78,100,76
224271_6,70,63,70,70,70,70,71,85,77,66,87,69
224271_7,68,70,70,70,70,70,61,85,82,73,90,73
224271_8,53,70,68,70,62,70,48,88,87,74,67,73
224271_9,70,70,65,58,69,70,84,79,59,47,99,68
224271_10,68,70,68,67,65,70,68,88,71,65,79,81
224271_11,65,70,63,70,68,70,60,83,53,71,81,69
224271_12,68,70,64,70,70,70,99,84,100,69,86,65
224271_13,68,65,70,66,70,70,67,65,79,62,92,67
224271_14,70,66,68,70,61,70,72,64,98,75,59,71
224271_15,70,68,70,70,68,70,71,75,78,82,85,71
224271_16,70,70,70,70,68,70,75,79,77,78,81,68
224271_17,68,60,70,67,68,70,63,99,80,63,85,77
224271_18,70,70,70,70,65,70,72,79,74,70,61,78
224271_19,70,70,70,70,57,70,70,74,80,66,50,64
224271_20,70,61,70,70,70,68,77,100,79,74,88,58